x,y
291,481
288,481
282,481
277,481
270,481
260,479
248,477
235,474
220,469
205,463
190,455
177,444
165,432
154,418
145,403
139,387
136,369
137,347
140,325
144,304
151,284
161,264
176,244
195,226
214,209
236,195
261,183
285,176
310,170
337,168
361,168
384,171
406,177
426,186
445,197
461,211
474,225
485,240
493,257
496,274
496,294
491,313
486,331
479,349
472,366
463,381
452,395
441,406
429,416
416,425
402,433
388,441
371,449
355,456
342,461
329,465
316,467
304,469
294,470
285,471
278,472
271,475
265,478
261,482
259,484
