x,y
201,252
194,260
182,273
160,302
133,330
103,370
74,408
48,441
37,458
25,475
21,485
17,492
16,494
16,495
16,496
16,496
17,496
20,496
25,495
34,494
52,493
79,491
110,490
147,490
188,490
224,490
258,488
286,488
307,488
326,488
340,488
350,488
356,488
359,488
361,488
362,488
363,488
363,488
364,488
364,488
364,487
364,487
363,486
362,484
360,482
357,478
353,470
348,462
342,453
337,441
332,432
322,417
316,410
309,400
305,393
300,386
298,382
295,378
292,372
290,369
288,366
287,365
285,363
283,361
280,357
278,354
275,350
273,347
271,344
268,340
266,337
263,333
260,329
258,324
256,321
254,317
251,313
249,310
246,307
244,304
242,300
240,297
239,294
237,292
235,289
233,287
232,285
231,284
230,283
228,281
227,279
226,278
224,276
223,275
221,273
220,272
219,270
218,269
217,268
216,267
215,267
215,266
215,266
214,265
214,265
213,264
213,264
212,263
212,262
211,262
211,261
210,260
210,258
209,257
208,256
208,255
208,254
207,254
207,253
206,253
206,252
206,251
205,251
205,250
205,250
205,250
204,250
204,250
204,250
204,250
203,250
203,250
203,250
202,250
202,250
202,249
202,249
202,248
202,248
201,247
