x,y
161,239
162,235
171,225
182,214
196,204
211,194
226,186
236,179
243,174
247,173
248,172
249,172
248,175
244,183
238,195
229,215
220,237
202,278
185,312
173,338
163,355
156,367
152,375
149,378
148,379
148,378
149,373
153,364
160,353
169,341
182,324
195,309
214,290
232,272
241,264
271,242
287,234
298,229
301,227
304,227
318,221
320,221
326,219
331,219
332,219
333,218
335,218
336,218
338,219
339,223
341,229
343,237
344,249
344,264
344,267
344,275
344,278
341,295
341,300
339,308
339,312
335,325
334,329
329,342
327,346
319,360
312,371
310,373
302,382
301,385
291,392
283,396
277,397
270,396
263,390
260,382
260,370
264,358
271,348
280,340
283,338
286,337
307,333
320,333
340,337
345,338
348,340
370,351
382,359
392,365
398,371
401,375
402,378
401,381
