x,y
221,163
221,164
222,167
222,170
221,175
220,181
218,189
216,198
213,210
206,238
204,244
197,269
193,285
189,299
184,314
183,320
180,328
174,347
171,352
167,362
165,366
163,369
160,376
158,378
156,382
154,385
153,387
151,389
149,390
147,392
146,392
143,392
142,393
140,393
136,392
134,390
133,389
130,383
128,381
126,378
124,370
123,368
121,363
120,355
119,352
119,348
120,340
122,331
125,322
126,318
129,313
137,298
140,293
148,282
152,277
156,272
167,262
172,257
177,253
193,242
198,239
202,235
230,221
250,216
259,215
285,216
299,224
309,234
317,245
323,256
327,269
327,273
329,283
328,299
325,313
322,322
318,329
302,346
290,353
278,357
267,357
260,355
253,348
252,346
255,332
261,324
263,322
273,316
280,315
286,315
309,317
311,318
317,321
330,327
336,331
343,335
348,339
349,340
