x,y
207,163
206,161
205,160
205,162
205,165
205,167
206,172
206,180
207,190
207,203
207,221
207,242
207,260
208,276
209,292
209,306
209,320
209,334
209,343
209,352
209,362
208,368
207,373
207,378
207,382
207,385
207,387
207,388
207,389
206,389
204,390
202,390
198,390
192,390
185,390
181,389
174,387
169,383
165,378
163,373
162,364
163,355
167,343
171,336
181,322
190,312
203,302
217,292
234,281
251,271
267,262
285,255
301,251
311,250
322,252
330,261
333,270
334,280
332,292
329,304
324,316
318,327
311,337
305,345
299,351
294,354
289,355
285,356
283,356
281,356
283,353
