x,y
159,246
161,245
168,243
177,240
191,235
208,229
225,225
240,222
252,219
258,218
261,218
262,219
262,221
258,225
252,230
246,237
239,245
232,254
224,264
215,276
206,289
197,302
189,316
181,329
172,342
163,357
155,372
148,386
141,399
133,413
126,426
121,434
119,441
119,444
119,445
119,443
119,437
121,429
124,421
128,413
132,404
138,394
145,384
151,374
157,366
164,359
171,352
177,346
184,340
192,335
198,331
204,328
210,326
216,325
223,325
228,325
232,328
235,332
238,336
240,342
241,348
242,357
242,366
242,375
242,384
244,394
245,403
247,411
249,416
251,421
256,426
260,429
265,431
271,434
272,435
276,436
279,438
282,440
286,441
290,443
295,443
299,443
304,442
309,441
314,440
318,440
324,438
329,438
334,436
339,436
345,434
350,433
355,432
360,431
364,429
368,428
371,427
374,426
376,425
377,424
378,424
