x,y
72,306
72,307
74,308
75,308
87,304
90,302
95,299
110,288
124,278
138,266
155,252
164,246
172,239
174,237
175,237
174,237
174,238
172,239
171,241
170,243
168,245
160,256
149,273
138,292
128,314
123,336
121,356
121,361
121,366
122,371
123,374
126,389
132,399
139,404
148,404
158,397
171,385
175,380
197,351
211,330
217,321
223,313
228,304
233,295
237,288
243,267
244,260
241,257
240,258
235,269
233,281
233,294
234,308
239,322
243,334
248,344
253,352
254,353
262,360
265,361
268,361
269,360
271,360
272,359
273,359
