x,y
128,314
127,314
127,313
127,311
130,308
135,302
142,298
153,290
165,284
176,278
188,274
196,271
198,271
201,271
204,270
211,269
212,269
217,269
219,269
221,269
223,269
225,270
226,271
228,271
233,274
234,276
235,277
236,279
237,280
238,282
239,284
239,286
240,288
241,292
241,294
241,297
242,302
242,305
242,307
242,310
242,313
242,325
241,337
240,341
239,344
239,348
238,351
237,354
236,358
232,368
229,375
226,381
218,394
214,399
212,401
207,407
198,415
192,418
190,418
182,419
179,416
178,415
177,414
175,410
175,409
173,403
