x,y
252,130
247,133
243,138
241,141
237,145
234,149
230,153
226,158
220,164
214,170
209,177
202,184
197,191
190,198
184,205
178,211
172,218
167,223
161,228
159,230
156,233
154,235
151,239
149,242
147,243
145,245
144,247
143,249
142,250
141,251
140,252
139,253
138,255
138,256
137,257
137,258
138,260
139,261
140,262
149,266
151,267
153,268
160,271
163,272
166,274
172,277
178,281
181,283
184,285
190,288
193,290
197,293
203,297
205,299
209,302
215,307
221,311
226,316
231,320
235,324
243,331
247,334
254,339
256,340
262,342
263,343
266,345
