x,y
172,194
171,190
178,189
185,187
193,185
200,184
205,184
209,184
210,186
210,190
207,193
204,196
201,200
198,204
196,207
194,212
192,216
190,224
184,237
179,251
174,264
168,279
161,294
154,309
149,321
142,334
135,347
129,356
124,362
121,364
118,364
116,362
114,359
112,352
111,345
111,337
112,329
112,322
113,315
114,308
117,300
120,296
124,292
128,288
134,286
140,283
147,281
156,280
163,280
172,280
184,279
200,279
214,281
228,283
247,286
263,289
286,293
296,297
307,299
316,302
324,305
328,306
332,307
340,309
343,309
346,310
348,311
350,311
