x,y
150,167
151,167
152,168
154,170
156,172
159,175
161,179
161,183
161,189
161,195
160,203
160,208
160,215
160,224
160,233
160,243
160,255
160,265
159,277
158,286
158,293
156,300
155,308
153,311
151,313
148,313
145,312
142,309
140,305
137,300
136,295
135,290
135,285
135,279
135,274
136,270
137,265
138,261
141,257
144,253
146,251
149,249
151,249
153,249
154,250
155,253
156,256
156,260
156,265
156,270
156,275
156,280
156,285
157,291
158,296
158,301
158,309
159,315
159,322
159,329
159,336
159,342
160,347
161,353
163,359
165,362
168,366
172,367
176,369
181,370
185,370
190,369
198,365
208,357
216,350
227,339
239,322
248,305
255,291
260,279
265,269
268,263
