x,y
72,323
70,322
69,318
72,311
79,302
89,290
103,276
119,261
131,249
140,242
142,241
145,239
142,247
141,249
135,263
129,279
128,284
126,288
117,316
110,337
104,359
100,379
98,389
93,416
91,424
89,427
89,429
84,439
82,441
80,444
78,445
77,443
76,439
76,435
77,431
77,429
78,426
79,423
87,401
96,381
100,376
102,371
108,360
111,355
114,350
117,344
120,340
124,334
130,325
135,320
147,307
156,297
160,293
185,272
199,263
210,258
220,256
229,258
236,263
243,271
248,280
249,283
256,299
260,309
262,324
262,339
260,354
256,369
251,383
244,397
242,400
241,403
238,405
236,408
227,417
217,423
211,426
202,425
195,420
191,411
191,403
194,395
200,386
208,380
219,376
230,375
241,376
251,381
260,388
269,397
276,403
283,411
291,422
296,427
297,429
299,430
303,434
304,434
306,436
307,437
