x,y
219,253
219,252
220,250
221,247
222,246
223,246
223,248
223,253
220,265
216,277
213,290
210,304
208,314
204,330
200,343
194,355
188,366
182,376
176,385
169,391
162,396
158,398
153,399
147,398
141,396
137,391
133,385
131,376
130,367
131,356
135,343
141,329
150,316
159,304
169,292
180,282
191,272
194,271
205,264
221,256
230,255
238,255
245,255
253,259
260,264
265,269
271,274
277,279
278,280
280,283
285,290
287,296
288,302
289,309
288,315
287,321
285,328
281,335
278,341
271,349
265,354
259,358
253,360
248,361
244,360
239,355
237,351
236,347
237,342
240,339
246,336
253,334
263,334
272,335
282,337
292,341
294,341
308,347
315,351
321,355
326,360
330,364
332,366
334,367
335,368
336,369
336,367
334,366
