x,y
196,140
194,140
194,141
194,144
194,150
194,158
194,169
193,183
192,198
191,212
191,228
190,246
189,265
189,286
189,308
189,322
189,343
188,369
187,388
187,405
187,417
187,425
187,429
186,430
184,430
181,427
178,425
175,422
172,420
168,419
165,417
162,416
159,413
156,410
154,406
153,403
151,396
150,389
150,381
150,373
153,364
157,352
161,341
166,333
172,322
181,309
197,292
211,279
227,269
244,259
261,253
274,251
290,250
306,251
316,256
325,265
332,276
337,287
343,300
348,314
350,325
351,333
351,343
350,352
348,362
344,371
339,381
334,390
329,398
322,406
315,413
307,419
283,431
278,431
