x,y
159,267
163,266
167,263
171,259
175,255
180,253
181,253
183,253
184,256
184,262
182,271
180,284
177,300
174,318
172,335
169,351
167,366
166,369
165,376
163,387
162,391
162,392
162,393
162,390
163,380
167,364
172,346
179,329
189,311
201,291
215,270
226,256
239,239
255,223
266,212
277,205
285,199
290,197
295,196
301,197
304,201
306,205
306,217
306,228
306,239
306,242
304,257
304,261
304,269
304,278
304,286
304,291
304,295
304,304
304,308
304,313
305,322
306,330
308,338
309,342
311,345
318,359
323,364
326,366
329,367
335,370
338,371
341,372
348,372
352,372
355,372
363,371
366,370
