x,y
211,168
214,168
221,166
230,163
239,161
249,158
255,157
259,157
262,157
262,160
262,163
257,171
253,177
245,191
237,204
228,218
219,234
209,250
199,267
190,281
175,302
163,318
151,335
139,349
137,352
125,366
123,367
122,369
121,369
122,368
123,366
126,362
129,358
134,352
139,346
145,340
152,333
160,325
167,318
175,311
184,304
191,298
223,280
240,274
244,273
253,272
262,271
271,271
280,271
288,272
296,274
303,278
309,281
315,285
320,289
324,294
332,309
337,322
339,331
339,337
339,345
337,352
335,359
332,366
327,374
322,381
302,406
298,409
268,427
258,433
