x,y
211,154
215,152
221,149
228,147
235,145
239,144
243,144
244,144
244,146
241,151
239,154
234,161
227,172
223,179
216,190
209,203
201,218
191,233
184,245
171,265
161,280
151,295
142,309
135,320
130,327
129,329
129,330
130,328
134,321
141,311
153,292
163,281
177,266
191,255
212,240
228,232
242,228
255,227
262,228
272,236
279,245
285,256
291,272
293,283
295,298
295,311
295,316
295,332
295,336
293,345
292,348
291,352
289,357
281,370
274,378
265,381
251,383
239,382
227,377
218,369
211,359
208,349
207,340
209,333
216,327
227,325
238,325
251,329
262,333
269,336
274,340
277,343
