x,y
111,219
109,219
108,219
109,219
110,218
114,218
117,216
122,215
127,214
136,211
140,211
147,209
150,207
154,206
161,204
165,204
168,202
188,197
198,195
207,192
214,190
217,189
218,188
219,188
221,188
219,187
218,187
213,189
208,193
200,199
198,202
196,204
193,205
191,208
181,218
171,230
163,238
153,251
147,259
138,271
137,273
133,277
130,280
127,283
126,284
125,285
123,288
122,288
121,290
120,290
119,292
121,292
123,292
126,291
129,289
133,286
139,283
145,280
151,277
158,274
165,271
186,263
199,258
212,253
214,252
221,249
227,247
228,247
228,246
224,246
223,247
222,247
221,248
219,248
215,251
209,255
204,260
201,262
195,269
186,279
183,283
171,300
167,307
165,311
160,325
158,329
157,339
157,343
158,350
159,353
160,355
161,359
163,361
165,363
167,366
181,373
202,374
219,371
232,366
239,363
259,350
266,344
270,340
271,338
271,336
269,335
267,335
266,335
265,337
