x,y
231,69
232,68
234,69
235,72
236,77
238,86
240,97
242,112
244,128
246,147
247,166
248,186
249,207
250,221
251,231
251,242
251,252
251,262
251,272
251,281
251,301
250,315
248,325
246,334
243,341
241,344
239,346
235,347
230,346
225,343
219,339
214,334
210,327
207,321
205,316
203,307
202,299
201,293
200,283
200,276
200,268
201,260
204,249
206,243
211,234
215,227
221,222
227,218
232,217
236,218
241,220
245,225
248,230
251,237
254,249
255,260
257,272
257,286
257,300
257,314
257,317
256,323
256,337
255,344
254,352
253,360
244,390
236,406
227,423
212,441
204,450
