x,y
94,258
98,254
101,251
108,246
121,235
130,229
136,225
140,223
142,222
142,226
140,234
137,246
133,260
129,272
126,281
124,291
120,316
117,335
114,353
111,364
108,380
106,385
102,396
101,399
100,400
100,399
101,394
103,384
106,371
111,357
114,353
128,324
130,320
142,300
165,271
179,256
184,251
191,244
199,238
223,221
241,212
251,209
257,208
278,209
280,209
286,212
297,219
304,227
311,239
315,251
316,260
317,273
316,289
315,292
315,295
311,304
309,308
304,317
302,320
289,335
276,347
266,353
260,357
255,359
253,359
252,359
251,359
