x,y
269,202
267,204
265,207
263,214
261,223
258,234
253,249
247,267
241,286
233,309
225,332
219,353
214,367
205,387
197,399
190,406
184,411
178,414
173,415
167,416
161,416
155,417
150,417
145,417
140,415
137,413
132,408
127,398
124,389
122,379
121,369
121,358
121,346
123,334
128,320
133,308
138,299
151,284
163,271
179,260
195,249
211,241
229,234
248,229
267,227
286,227
300,227
317,230
334,237
344,244
352,253
359,265
364,278
367,292
371,306
372,323
373,342
369,364
368,371
366,375
365,380
354,403
341,418
