x,y
315,91
315,99
315,121.66999816894531
315,156.3300018310547
322.3299865722656,265.66998291015625
331,333.66998291015625
334.3299865722656,369.66998291015625
345.66998291015625,449.66998291015625
351,478.3299865722656
359,529
359,535.6699829101562
359,535.6699829101562
527,539
530.3300170898437,537.6699829101562
533.6699829101562,535.6699829101562
535.6699829101562,534.3300170898437
537.6699829101562,533
541,532.3300170898437
543,530.3300170898437
545,530.3300170898437
547,529.6699829101562
548.3300170898437,529
549,529
549.6699829101562,529
550.3300170898437,529
551,529
551.6699829101562,529
552.3300170898437,529
553,528.3300170898437
553.6699829101562,528.3300170898437
554.3300170898437,528.3300170898437
555,528.3300170898437
556.3300170898437,527
558.3300170898437,526.3300170898437
561,525
561.6699829101562,524.3300170898437
562.3300170898437,524.3300170898437
563,523.6699829101562
563,523
563,522.3300170898437
563,521.6699829101562
563,521
562.3300170898437,521
561.6699829101562,519.6699829101562
561,519
560.3300170898437,517.6699829101562
558.3300170898437,516.3300170898437
558.3300170898437,515.6699829101562
557,514.3300170898437
555,513
553.6699829101562,511.66998291015625
551,507
546.3300170898437,491.66998291015625
537.6699829101562,471
531.6699829101562,447
519,409
511.66998291015625,371.66998291015625
503.66998291015625,339
496.3299865722656,304.3299865722656
490.3299865722656,280.3299865722656
481.66998291015625,260.3299865722656
475,243
471,233
465,219
461.66998291015625,210.3300018310547
457.66998291015625,193
457.66998291015625,185
457.66998291015625,169
457,151.6699981689453
457,137.6699981689453
457,124.33000183105469
457,116.32999420166015
455.66998291015625,103
455,99.66999816894531
453.66998291015625,94.32999420166015
452.3299865722656,92.32999420166015
452.3299865722656,89.66999816894531
451.66998291015625,88.32999420166015
451,87
451,85.66999816894531
451,84.32999420166015
451,83
451,82.32999420166015
451,81
451,80.32999420166015
451,79.66999816894531
451,78.33000183105469
451,77
451,75.66999816894531
451,75
451,73.66999816894531
451,72.33000183105469
451,71.66999816894531
451,70.33000183105469
451,69.66999816894531
451,68.33000183105469
451,67
451,65.66999816894531
451,65
451,63.66999816894531
451,62.33000183105469
451,61.66999816894531
451,61
451,59.66999816894531
451,59
451,58.33000183105469
451,57
451,56.33000183105469
451,54.32999801635742
451,53
451,51.66999816894531
451,51
451,49.66999816894531
451,48.32999801635742
451,47.66999816894531
451,47
450.3299865722656,45
449.66998291015625,43.66999816894531
449,42.32999801635742
448.3299865722656,41.66999816894531
448.3299865722656,41
447.66998291015625,39.66999816894531
446.3299865722656,39
441,38.32999801635742
435,36.32999801635742
421.66998291015625,34.32999801635742
417.66998291015625,33
410.3299865722656,31
405.66998291015625,28.329998016357422
397.66998291015625,26.329998016357422
387.66998291015625,24.329998016357422
379.66998291015625,22.329999923706054
373.66998291015625,21
369.66998291015625,20.329999923706054
367.66998291015625,20.329999923706054
365,21
363.66998291015625,22.329999923706054
361,23
358.3299865722656,25
354.3299865722656,26.329998016357422
351,28.329998016357422
345,31
341.66998291015625,31.669998168945312
338.3299865722656,33.66999816894531
336.3299865722656,34.32999801635742
334.3299865722656,35.66999816894531
333,36.32999801635742
331.66998291015625,37
331,37.66999816894531
330.3299865722656,38.32999801635742
329,39
328.3299865722656,39.66999816894531
327.66998291015625,39.66999816894531
327.66998291015625,40.32999801635742
327,41
327,41.66999816894531
326.3299865722656,42.32999801635742
325.66998291015625,44.32999801635742
325.66998291015625,45.66999816894531
323.66998291015625,49
322.3299865722656,51.66999816894531
321.66998291015625,56.33000183105469
319.66998291015625,61
317,69
315.66998291015625,72.33000183105469
315.66998291015625,73.66999816894531
315.66998291015625,74.33000183105469
315,74.33000183105469
315.66998291015625,74.33000183105469
315.66998291015625,73.66999816894531
315.66998291015625,73
